"product_id","sku","name","price","sale_price","original_price","grape","wine_type","producer","country","region","abv","volume","vintage","stock_status","categories","description","url","image"
"100796","VT/0709","Champagne Barons de Rothschild Blanc de Blancs","3.993.000","","","Chardonnay","Champagne","Nhà sản xuất","Puglia","","1","750ml","","in-stock","","100% nho Chardonnay tuyển chọn từ các thửa ruộng Grand Cru, Premier Cru; tỷ lệ 40% rượu dự trữ; ủ tối thiểu 3,5 năm với bã men đã đem lại Cuvée biểu tượng của Barons de Rothschild, thể hiện tiềm năng đặc biệt của thổ nhưỡng Côte des Blancs. Hương thơm nhiệt đới dần bung tỏa với cam quýt, trái cây sấy khô, bánh brioche và bơ ngậy. Vị Champagne tươi mát, thơm ngon, sống động, hậu vị ấm áp, thoảng chút khoáng chất tinh tế.","https://winecellar.vn/ruou-champagne/champagne-barons-de-rothschild-blanc-de-blancs/","https://winecellar.vn/wp-content/uploads/2026/01/champagne-barons-de-rothschild-blanc-de-blancs.jpg"
"100800","VT/0710","Champagne Barons de Rothschild Rare Collection Blanc","1","","","Chardonnay","Champagne","Nhà sản xuất","Puglia","","1","750ml","","in-stock","","Dòng Champagne với sản lượng giới hạn, được chăm chút tỉ mỉ như những chai Grand Vin danh giá của Gia tộc Rothschild. 100% Chardonnay từ 4 thửa ruộng Grand Cru độc quyền, lên men riêng từng thửa và ủ với bã men tối thiểu 8 năm mang lại dòng Champagne hảo hạng. Sắc vàng nhạt trong trẻo; hương mơ, xuân đào, khoáng chất, hạnh nhân và bánh mì nướng hài hòa. Vị rượu tươi mới, tròn đầy, khoáng chất tinh tế và kéo dài.","https://winecellar.vn/ruou-champagne/champagne-barons-de-rothschild-rare-collection-blanc/","https://winecellar.vn/wp-content/uploads/2026/01/champagne-barons-de-rothschild-rare-collection-blanc.jpg"
"100789","VD/1645","Champagne Barons de Rothschild Rosé","3.751.000","","","Chardonnay","Champagne","Nhà sản xuất","Puglia","","1","750ml","","in-stock","","Sự kết hợp xuất sắc giữa Chardonnay và một chút nho đỏ tinh tế. 100% nho từ các vườn Grand Cru, Premier Cru; 40% rượu dự trữ; ủ với bã men tối thiểu 2,5 năm đã mang lại dòng Champagne hồng hảo hạng. Sắc hồng nhạt cá hồi cuộn trong làn hương khoáng chất, trái cây tươi, cam quýt, hoa trắng, cánh hoa hồng và dâu rừng. Vị Champagne tươi mới, kết cấu mượt mà. Tầng hương cam quýt, trái cây đỏ tạo nên một tổng thể sống động với hậu vị khoáng chất kéo dài đầy ấn tượng.","https://winecellar.vn/ruou-champagne/champagne-barons-de-rothschild-rose/","https://winecellar.vn/wp-content/uploads/2026/01/champagne-barons-de-rothschild-rose.jpg"
"100804","VT/0711","Champagne Barons de Rothschild Triptyque Millésime 2019","5","","","Chardonnay","Champagne","Nhà sản xuất","Puglia","","1","750ml","2019","in-stock","","50% Chardonnay, 50% Pinot Noir từ những thửa ruộng Grand Cru đã mang đến 1 dòng Champagne vintage tinh tế và cuốn hút, nổi bật với khoáng chất đặc trưng. Vị Champagne tròn đầy, mượt mà. Chardonnay từ Avize bổ sung chiều sâu khoáng chất và hương cam chín. Hậu vị ghi dấu ấn Pinot Noir từ Aÿ với sự sống động, sắc nét và gia vị thanh lịch.","https://winecellar.vn/ruou-champagne/champagne-barons-de-rothschild-triptyque-millesime-2019/","https://winecellar.vn/wp-content/uploads/2026/01/champagne-barons-de-rothschild-triptyque-millesime-2019.jpg"
"92810","VT/0673","Rượu Vang Đức Deinhard Green Label Riesling","411.400","","","Riesling, Gewürztraminer","Rượu Vang Trắng","Nhà sản xuất","Đức Deinhard Green Label Riesling","","1","750ml","","in-stock","","Hương vị Riesling đặc trưng từ Mosel, Đức. Hương thơm đu đủ, xoài, chanh dây hòa quyện cùng cam quýt tươi mát, hương hoa cam và hương thơm ngọt ngào của táo, quả sung và mật ong. Rượu có vị ngọt vừa phải, hương vị trái cây độc đáo, độ chua tinh tế hòa quyện cùng khoáng chất thơm ngon.","https://winecellar.vn/ruou-vang-duc/deinhard-green-label-riesling/","https://winecellar.vn/wp-content/uploads/2025/08/deinhard-green-label-riesling.jpg"
"92807","VT/0674","Rượu Vang Đức Gaumen Spiel Gewurztraminer","411.400","","","Gewürztraminer, Riesling","Rượu Vang Trắng","Nhà sản xuất","Đức Gaumen Spiel Gewurztraminer","","1","750ml","","in-stock","","Hương thơm tươi mát của trái cây, hoa cỏ và chút gia vị như cùng hòa quyện trong điệu vũ mùa hè, lan tỏa rộn ràng ngay từ khoảnh khắc đầu tiên. Vị rượu tràn đầy sức sống, đem lại trải nghiệm thưởng thức tuyệt vời.","https://winecellar.vn/ruou-vang-duc/gaumen-spiel-gewurztraminer/","https://winecellar.vn/wp-content/uploads/2025/08/gaumen-spiel-gewurztraminer.jpg"
"92815","VT/0675","Rượu vang trắng không cồn Deinhard Green Label Riesling 0.0% De-Alcoholized Wine","403.920","","","Riesling, Gewürztraminer","Rượu Vang Trắng","Nhà sản xuất","Puglia","","1","750ml","","in-stock","","Rượu mang sắc vàng rơm, lan tỏa hương táo, chanh, phong cách off dry (ngọt nhẹ) với khoáng chất tươi mát kéo dài. Hương vị trái cây như táo, lê, mộc qua hòa quyện cùng hương bánh brioche mới nướng. Một dòng vang không cồn độc đáo, kết hợp lý tưởng với các món hải sản thơm ngon.","https://winecellar.vn/ruou-vang-duc/ruou-vang-trang-khong-con-deinhard-green-label-riesling-0-0-de-alcoholized-wine/","https://winecellar.vn/wp-content/uploads/2025/08/ruou-vang-trang-khong-con-deinhard-green-label-riesling-0-0-de-alcoholized-wine.jpg"
"95205","VTKC/0003","Rượu vang trắng không cồn Deinhard Green Label Sparkling Riesling 0.0%","403.920","","","Riesling, Gewürztraminer","Rượu Vang Trắng","Nhà sản xuất","Puglia","","1","750ml","","in-stock","","","https://winecellar.vn/ruou-vang-duc/deinhard-green-label-sparkling-riesling-0-0/","https://winecellar.vn/wp-content/uploads/2025/09/deinhard-green-label-sparkling-riesling-0-0.jpg"
"91887","VT/0676","Rượu Vang Pháp Domaine Faiveley Bourgogne Chardonnay 2022","1.364.000","","","Chardonnay, Pinot Noir","Rượu Vang Trắng","Nhà sản xuất","Pháp Domaine Faiveley Bourgogne Chardonnay 2022","","1","750ml","2022","in-stock","","Rượu được ủ từ 8 đến 10 tháng trong hầm rượu tại Nuits-Saint-Georges. Một phần của cuvée (thay đổi tùy theo niên vụ) được ủ trong thùng gỗ sồi. Những thùng gỗ này đến từ các nhà sản xuất thùng gỗ sồi chất lượng cao và được lựa chọn kỹ lưỡng để đảm bảo hương vị thơm ngon. Rượu có hương thơm trái cây quyến rũ, chất vị thơm ngon, dễ uống.","https://winecellar.vn/ruou-vang-phap/domaine-faiveley-bourgogne-chardonnay-2022/","https://winecellar.vn/wp-content/uploads/2025/07/domaine-faiveley-bourgogne-chardonnay.jpg"
"101296","VT/0676-23","Rượu Vang Pháp Domaine Faiveley Bourgogne Chardonnay 2023","1.364.000","","","Chardonnay, Pinot Noir","Rượu Vang Trắng","Nhà sản xuất","Pháp Domaine Faiveley Bourgogne Chardonnay 2023","","1","750ml","2023","in-stock","","Rượu được ủ từ 8 đến 10 tháng trong hầm rượu tại Nuits-Saint-Georges. Một phần của cuvée (thay đổi tùy theo niên vụ) được ủ trong thùng gỗ sồi. Những thùng gỗ này đến từ các nhà sản xuất thùng gỗ sồi chất lượng cao và được lựa chọn kỹ lưỡng để đảm bảo hương vị thơm ngon. Rượu có hương thơm trái cây quyến rũ, chất vị thơm ngon, dễ uống.","https://winecellar.vn/ruou-vang-phap/domaine-faiveley-bourgogne-chardonnay-2023/","https://winecellar.vn/wp-content/uploads/2025/07/domaine-faiveley-bourgogne-chardonnay.jpg"
